"|","||","|||","|||__t2","|||__hr","|||__pp","|||__cl","|||__ws","|||__wd"
"","","22","18.67","68.82","0.0","0.0","2.99","319.17"
"","","23","17.74","69.33","0.0","0.0","2.88","320.23"
"","20190602","0","16.94","68.39","0.0","0.0","2.94","318.73"
"","","1","16.12","69.02","0.0","0.0","2.66","315.57"
"","","2","15.22","70.13","0.0","0.0","2.23","309.27"
"","","3","14.56","68.51","0.0","0.0","1.94","302.63"
"","","4","14.57","67.5","0.0","0.0","1.72","295.52"
"","","5","14.64","66.95","0.0","0.0","1.57","287.87"
"","","6","14.71","66.86","0.0","0.0","1.53","282.91"
"","","7","17.51","62.0","0.0","0.0","1.83","283.87"
"","","8","20.2","35.04","0.0","0.0","2.34","285.29"
"","","9","22.07","31.27","0.0","0.0","1.91","265.57"
"","","10","23.93","30.62","0.0","0.0","2.49","252.64"
"","","11","25.15","31.33","0.0","0.0","3.41","252.99"
"","","12","25.81","32.6","0.0","0.0","4.31","252.78"
"","","13","26.08","33.58","0.0","0.0","4.85","253.28"
"","","14","25.9","34.64","0.0","0.0","5.15","255.66"
"","","15","25.56","35.57","0.0","0.0","5.26","257.5"
"","","16","24.98","36.11","0.0","0.0","5.15","260.75"
"","","17","24.03","36.96","0.0","0.0","4.85","265.51"
"","","18","22.66","39.51","0.0","0.0","4.33","270.1"
"","","19","20.93","48.68","0.0","0.0","3.4","279.61"
"","","20","18.38","64.66","0.0","0.0","2.7","294.75"
"","","21","16.87","66.83","0.0","0.0","3.17","304.17"
"","","22","16.13","69.66","0.0","0.0","2.91","310.72"
"","","23","15.51","72.65","0.0","0.0","2.66","316.67"
"","20190603","0","14.8","74.84","0.0","0.0","2.56","319.49"
"","","1","14.19","75.36","0.0","0.0","2.71","318.29"
"","","2","13.81","75.81","0.0","0.0","2.93","316.55"
"","","3","13.51","78.53","0.0","0.0","3.0","316.1"
"","","4","13.54","82.67","0.0","3.43","2.89","315.65"
"","","5","13.51","87.07","0.0","30.6","2.86","317.1"
"","","6","13.78","89.69","0.0","62.28","3.03","317.39"
"","","7","15.36","85.34","0.0","76.83","3.15","315.92"
"","","8","17.07","76.12","0.0","95.58","3.38","305.2"
"","","9","18.58","67.91","0.0","97.73","3.49","296.23"
"","","10","19.16","64.06","0.0","78.24","3.95","300.12"
"","","11","19.34","60.85","0.0","61.8","3.7","297.51"
"","","12","20.53","56.9","0.0","48.02","3.81","290.06"
"","","13","21.01","56.18","0.0","44.51","4.21","281.61"
"","","14","20.86","56.43","0.0","39.39","4.47","284.42"
"","","15","20.67","55.1","0.0","23.31","4.31","287.11"
